Id,governorateId,ArabicName,EnglishName
1,2,??????,Abdulla Al-Salem
2,2,????????,Adailiya
3,2,???? ?????,Bnaid Al-Qar
4,2,??????,Da?iya
5,2,??????,Dasma
6,2,??????,Doha
7,2,????? ??????,Doha Port
8,2,???????,Faiha'
9,2,?????,Failaka
10,2,??????,Granada (Kuwait)
11,2,????? ???? ??????,Jaber Al-Ahmad City
12,2,???????,Jibla
13,2,?????,Kaifan
14,2,????????,Khaldiya
15,2,?????????,Mans?riya
16,2,???????,Mirgab
17,2,??????,Nahdha
18,2,???? ??? ??????????,North West Sulaibikhat
19,2,??????,Nuzha
20,2,????????,Qadsiya
21,2,?????,Qurtuba
22,2,??????,Rawda
23,2,???????,Shamiya
24,2,????,Sharq
25,2,??????,Shuwaikh
26,2,?????? ????????,Shuwaikh Industrial Area
27,2,????? ??????,Shuwaikh Port
28,2,?????????,Sulaibikhat
29,2,?????,Surra
30,2,????? ?? ?????,Umm an Namil Island
31,2,???????,Yarmouk
32,4,?????,Anjafa
33,4,????,Bay?n
34,4,?????,Bi'da
35,4,????,Hawally
36,4,????,Hittin
37,4,????????,Jabriya
38,4,????? ????,Maidan Hawalli
39,4,????,Mishrif
40,4,????? ??????,Mubarak Al-Jabir
41,4,??????,Nigra
42,4,????????,Rumaithiya
43,4,????,Salam
44,4,????????,Salmiya
45,4,????,Salwa
46,4,?????,Sha'ab
47,4,???????,Shuhada
48,4,??????,Siddiq
49,4,???? ?????,South Surra
50,4,???????,Zahra
51,6,??? ????????,Abu Al Hasaniya
52,6,??? ?????,Abu Futaira
53,6,??????,Ad?n
54,6,??????,Al Qurain
55,6,??????,Al-Qusour
56,6,???????,Fint?s
57,6,????????,Funait?s
58,6,???????,Mis?la
59,6,????? ??????,Mubarak Al-Kabeer
60,6,???? ??????,Sabah Al-Salem
61,6,?????,Sabh?n
62,6,???? ????,South Wista
63,6,????,Wista
64,1,??? ?????,Abu Halifa
65,1,????? ??? ????,Abdullah Port
66,1,???????,Ahmadi
67,1,??? ???? ??????,Ali As-Salim
68,1,???????,Aqila
69,1,?? ???????,Bar Al Ahmadi
70,1,?????,Bneidar
71,1,?? ??????? ?????,Dhaher
72,1,????????,Fahaheel
73,1,??? ??????,Fahad Al-Ahmad
74,1,????,Hadiya
75,1,???? ?????,Jaber Al-Ali
76,1,?????? ??????,Jawaher Al Wafra
77,1,???????,Jilei'a
78,1,???????,Khairan
79,1,????????,Mahbula
80,1,??????,Mangaf
81,1,??????,Miqwa'
82,1,????? ??????? ???????,New Khairan City
83,1,?????? ???????,New Wafra
84,1,????????,Nuwaiseeb
85,1,?????,Riqqa
86,1,????? ???? ??????,Sabah Al-Ahmad City
87,1,????? ???? ?????? ???????,Sabah Al Ahmad Sea City
88,1,????????,Sabahiya
89,1,???????,Shu'aiba (North & South)
90,1,???? ????????,South Sabahiya
91,1,??????,Wafra
92,1,?????,Zoor
93,1,?????,Zuhar
94,3,??????? ???????,Abdullah Al-Mubarak
95,3,????? ??????,Airport District
96,3,???????,Andalous
97,3,????????,Ardiya
98,3,???????? ?????,Ardiya Herafiya
99,3,???????? ??????? ????????,Ardiya Industrial Area
100,3,???????,Ashbelya
101,3,??????,Dhajeej
102,3,?????????,Farwaniya
103,3,???????,Fordous
104,3,???? ??????,Jleeb Al-Shuyoukh
105,3,?????,Khaitan
106,3,???????,Omariya
107,3,???????,Rabiya
108,3,????,Rai
109,3,??????,Al-Riggae
110,3,??????,Rihab
111,3,???? ??????,Sabah Al-Nasser
112,3,???? ?????,Sabaq Al Hajan
113,5,???????,Abdali
114,5,?????? / ??? ?????????,Al Nahda / East Sulaibikhat
115,5,?????,Amghara
116,5,?? ???????,Bar Jahra
117,5,???????,Jahra
118,5,??????? ??????? ????????,Jahra Industrial Area
119,5,???,Kabad
120,5,??????,Naeem
121,5,??????,Nasseem
122,5,??????,Oyoun
123,5,?????,Qasr
124,5,????? ??? ?????????,Saad Al Abdullah City
125,5,???????,Salmi
126,5,???????,Sikrab
127,5,???? ?????? / ????????,South Doha / Qairaw?n
128,5,??????,Subiya
129,5,????????,Sulaibiya
130,5,???????? ??????? ????????,Sulaibiya Agricultural Area
131,5,?????,Taima
132,5,??????,Waha
